日期,縣市,表燈非營業用電售電量(度),表燈非營業用電抄表戶數,表燈非營業用電佔比(%),表燈營業用電(住宅用)售電量(度),表燈營業用電(住宅用)抄表戶數,表燈營業用電(住宅用)用電佔比(%),無法歸類之家庭用電(電力用電)售電量(度),無法歸類之家庭用電(電力用電)抄表戶數,無法歸類之家庭用電(電力用電)用電佔比(%),合計
2019年09月,雲林縣,137331918,264721,0.0269,946631,848,0.0218,572607,203,0.0023,138851156
2019年09月,嘉義縣,93530462,178737,0.0183,677294,580,0.0156,364208,107,0.0015,94571964
2019年09月,屏東縣,164468273,285036,0.0322,1409919,1395,0.0324,966047,313,0.0039,166844239
2019年09月,台東縣,40090527,58463,0.0079,177863,152,0.0041,180747,65,0.0007,40449137
2019年09月,花蓮縣,69198219,90596,0.0136,243583,113,0.0056,634986,131,0.0026,70076788
2019年09月,基隆市,73413357,88680,0.0144,359646,281,0.0083,3608035,883,0.0146,77381038
2019年09月,新竹市,120929162,129351,0.0237,661500,379,0.0152,4557977,805,0.0185,126148639
2019年09月,嘉義市,53953987,79876,0.0106,225279,237,0.0052,1036401,245,0.0042,55215667
2019年09月,澎湖縣,21452683,23157,0.0042,272281,191,0.0063,88250,16,0.0004,21813214
2019年09月,金門縣,15673500,16836,0.0031,224663,107,0.0052,34347,39,0.0001,15932510
2019年09月,連江縣,3333961,1954,0.0007,54746,26,0.0013,9155,13,0,3397862
2019年09月,合計,5106751121,6493990,1,43477632,27120,1,246562373,35485,1,5396791126
2019年08月,新北市,826796773,932895,0.1798,7740022,3840,0.1923,75968993,10044,0.3186,910505788
2019年08月,台北市,514659719,502464,0.1119,3388442,1927,0.0842,52685142,6864,0.2209,570733303
2019年08月,桃園市,504766991,621459,0.1097,4579064,2242,0.1138,24102125,3134,0.1011,533448180
2019年08月,台中市,556221327,762538,0.1209,7020013,4070,0.1744,35899274,4651,0.1505,599140614
2019年08月,台南市,374876774,599206,0.0815,2406323,1882,0.0598,7277376,1315,0.0305,384560473
2019年08月,高雄市,459283793,717806,0.0999,3689592,2971,0.0917,22313678,3896,0.0936,485287063
2019年08月,宜蘭縣,95321167,147037,0.0207,666483,451,0.0166,1254414,290,0.0053,97242064
2019年08月,新竹縣,129347412,164013,0.0281,1219825,686,0.0303,4961294,668,0.0208,135528531
2019年08月,苗栗縣,100632447,161433,0.0219,621446,422,0.0154,618293,160,0.0026,101872186
2019年08月,彰化縣,234032332,392471,0.0509,3691643,3269,0.0917,1437193,394,0.006,239161168
2019年08月,南投縣,87854281,162827,0.0191,723304,589,0.018,507390,116,0.0021,89084975
2019年08月,雲林縣,123681857,270379,0.0269,722606,634,0.018,578492,205,0.0024,124982955
2019年08月,嘉義縣,79542250,173805,0.0173,598186,491,0.0149,239026,97,0.001,80379462
2019年08月,屏東縣,144542810,257741,0.0314,1239852,1217,0.0308,948464,315,0.004,146731126
2019年08月,台東縣,43052665,64274,0.0094,180260,151,0.0045,180574,66,0.0008,43413499
2019年08月,花蓮縣,69967811,96188,0.0152,150451,114,0.0037,535454,128,0.0022,70653716
2019年08月,基隆市,75620573,100270,0.0164,390229,291,0.0097,3415687,847,0.0143,79426489
2019年08月,新竹市,96618277,111869,0.021,590988,345,0.0147,4428924,805,0.0186,101638189
2019年08月,嘉義市,51667240,79408,0.0112,317183,230,0.0079,1000550,230,0.0042,52984973
2019年08月,澎湖縣,17279537,23438,0.0038,130756,98,0.0032,81058,15,0.0003,17491351
2019年08月,金門縣,11302223,13586,0.0025,151142,111,0.0038,30620,39,0.0001,11483985
2019年08月,連江縣,2461537,2200,0.0005,35932,32,0.0009,9374,13,0,2506843
2019年08月,合計,4599529796,6357307,1,40253742,26063,1,238473395,34292,1,4878256933
2019年07月,新北市,694293032,929822,0.1692,7291710,4036,0.1917,67158586,9753,0.317,768743328
2019年07月,台北市,446149288,533167,0.1087,3113991,1973,0.0819,47636267,6837,0.2249,496899546
2019年07月,桃園市,341510045,516067,0.0832,3795539,2048,0.0998,19099646,2986,0.0902,364405230
2019年07月,台中市,496908563,761430,0.1211,6729907,4300,0.1769,31777317,4455,0.15,535415787
2019年07月,台南市,348753763,600828,0.085,2261456,1793,0.0595,6843235,1309,0.0323,357858454
2019年07月,高雄市,573633115,920010,0.1398,4182273,3516,0.11,21259385,3876,0.1004,599074773
2019年07月,宜蘭縣,75811286,140122,0.0185,574390,528,0.0151,973298,260,0.0046,77358974
2019年07月,新竹縣,93207945,150598,0.0227,874671,661,0.023,4404330,666,0.0208,98486946
2019年07月,苗栗縣,96951188,176608,0.0236,719043,606,0.0189,575467,159,0.0027,98245698
2019年07月,彰化縣,204146180,403125,0.0498,3332732,3053,0.0876,1304469,393,0.0062,208783381
2019年07月,南投縣,65305766,134342,0.0159,496633,514,0.0131,452748,116,0.0021,66255147
2019年07月,雲林縣,118157608,264062,0.0288,870507,858,0.0229,457839,202,0.0022,119485954
2019年07月,嘉義縣,82537939,178396,0.0201,593123,584,0.0156,202981,98,0.001,83334043
2019年07月,屏東縣,155829025,284651,0.038,1349908,1415,0.0355,949773,315,0.0045,158128706
2019年07月,台東縣,33012688,58313,0.008,150188,155,0.0039,165185,65,0.0008,33328061
2019年07月,花蓮縣,53780597,90425,0.0131,192668,113,0.0051,346134,108,0.0016,54319399
2019年07月,基隆市,52568152,88647,0.0128,293626,284,0.0077,3146070,839,0.0149,56007848
2019年07月,新竹市,90592505,129092,0.0221,540939,383,0.0142,4016292,802,0.019,95149736
2019年07月,嘉義市,47925667,79625,0.0117,233228,243,0.0061,935925,229,0.0044,49094820
2019年07月,澎湖縣,18119858,23083,0.0044,241922,192,0.0064,80388,15,0.0004,18442168
2019年07月,金門縣,11392471,16746,0.0028,156468,107,0.0041,29932,39,0.0001,11578871
2019年07月,連江縣,2524073,1956,0.0006,41826,26,0.0011,8141,13,0,2574040
2019年07月,合計,4103110754,6481115,1,38036748,27388,1,211823408,33535,1,4352970910
2019年06月,新北市,581579359,931066,0.1635,6507564,3885,0.1854,57221221,9452,0.292,645308144
2019年06月,台北市,359087441,501691,0.101,2726360,1921,0.0777,44812782,6739,0.2287,406626583
2019年06月,桃園市,366997218,619231,0.1032,3974268,2261,0.1132,18645706,2965,0.0952,389617192
2019年06月,台中市,440610294,759725,0.1239,6278784,4133,0.1789,28683719,4259,0.1464,475572797
2019年06月,台南市,318737488,598270,0.0896,2236385,1891,0.0637,6985418,1306,0.0356,327959291
2019年06月,高雄市,399619694,716274,0.1124,3531625,2990,0.1006,21579172,3864,0.1101,424730491
2019年06月,宜蘭縣,69485727,146506,0.0195,516573,452,0.0147,1024673,259,0.0052,71026973
2019年06月,新竹縣,93796669,163032,0.0264,986883,687,0.0281,4308498,657,0.022,99092050
2019年06月,苗栗縣,73863189,161094,0.0208,513624,424,0.0146,588068,159,0.003,74964881
2019年06月,彰化縣,187964000,391269,0.0529,3281998,3286,0.0935,1337601,393,0.0068,192583599
2019年06月,南投縣,77173061,162457,0.0217,658565,597,0.0188,483721,116,0.0025,78315347
2019年06月,雲林縣,109204502,269680,0.0307,607220,639,0.0173,450442,202,0.0023,110262164
2019年06月,嘉義縣,70442649,173470,0.0198,524129,494,0.0149,204730,98,0.001,71171508
2019年06月,屏東縣,131034791,257445,0.0368,1161254,1226,0.0331,981927,314,0.005,133177972
2019年06月,台東縣,34225243,64099,0.0096,155119,153,0.0044,157079,65,0.0008,34537441
2019年06月,花蓮縣,53561706,95837,0.0151,127224,115,0.0036,449037,108,0.0023,54137967
2019年06月,基隆市,54041950,100192,0.0152,306924,292,0.0087,2958103,839,0.0151,57306977
2019年06月,新竹市,68369207,111493,0.0192,480270,349,0.0137,4061735,802,0.0207,72911212
2019年06月,嘉義市,42194748,79246,0.0119,271638,231,0.0077,921089,229,0.0047,43387475
2019年06月,澎湖縣,13871749,23396,0.0039,106132,96,0.003,76670,15,0.0004,14054551
2019年06月,金門縣,8703066,13429,0.0024,119560,112,0.0034,20210,37,0.0001,8842836
2019年06月,連江縣,1920104,2207,0.0005,31573,33,0.0009,8413,13,0,1960090
2019年06月,合計,3556483855,6341109,1,35103672,26267,1,195960014,32891,1,3787547541
2019年05月,新北市,530487646,927764,0.161,6210838,4069,0.1854,55767501,9399,0.2907,592465985
2019年05月,台北市,337907717,532891,0.1025,2572283,1980,0.0768,42658279,6727,0.2224,383138279
2019年05月,桃園市,287440432,514658,0.0872,3360193,2072,0.1003,17843810,2940,0.093,308644435
2019年05月,台中市,402491447,759492,0.1221,6261486,4469,0.1869,28648582,4243,0.1494,437401515
2019年05月,台南市,276411819,599676,0.0839,1960543,1801,0.0585,6877214,1302,0.0359,285249576
2019年05月,高雄市,448037340,918963,0.136,3777949,3546,0.1128,22092715,3859,0.1152,473908004
2019年05月,宜蘭縣,63359159,139847,0.0192,500838,536,0.0149,1061305,255,0.0055,64921302
2019年05月,新竹縣,76737091,150272,0.0233,747552,666,0.0223,4098459,649,0.0214,81583102
2019年05月,苗栗縣,77043705,176100,0.0234,601699,607,0.018,567774,154,0.003,78213178
2019年05月,彰化縣,174744170,402406,0.053,3038070,3068,0.0907,1365061,392,0.0071,179147301
2019年05月,南投縣,60918113,134072,0.0185,460450,522,0.0137,506307,116,0.0026,61884870
2019年05月,雲林縣,104314401,263715,0.0317,768677,859,0.0229,477040,202,0.0025,105560118
2019年05月,嘉義縣,70714814,177969,0.0215,538920,592,0.0161,204645,98,0.0011,71458379
2019年05月,屏東縣,132300017,284180,0.0401,1173961,1416,0.035,1002717,313,0.0052,134476695
2019年05月,台東縣,28689486,58194,0.0087,138050,156,0.0041,162687,63,0.0008,28990223
2019年05月,花蓮縣,46065563,90239,0.014,159524,115,0.0048,475248,108,0.0025,46700335
2019年05月,基隆市,44178377,88267,0.0134,239738,283,0.0072,3025265,834,0.0158,47443380
2019年05月,新竹市,69432085,128119,0.0211,453223,388,0.0135,3927784,788,0.0205,73813092
2019年05月,嘉義市,37975122,79509,0.0115,200482,246,0.006,938998,229,0.0049,39114602
2019年05月,澎湖縣,13859985,23107,0.0042,179830,195,0.0054,75764,15,0.0004,14115579
2019年05月,金門縣,9793368,16623,0.003,120869,107,0.0036,21342,38,0.0001,9935579
2019年05月,連江縣,2286740,1952,0.0007,38747,26,0.0012,16334,14,0.0001,2341821
2019年05月,合計,3295188597,6468015,1,33503922,27719,1,191814831,32738,1,3520507350
2019年04月,新北市,493246140,928438,0.1646,5410519,3914,0.1828,50962620,9325,0.2904,549619279
2019年04月,台北市,293916060,501350,0.0981,2159546,1935,0.0729,38479133,6703,0.2192,334554739
2019年04月,桃園市,334357758,616842,0.1116,3243577,2283,0.1096,16519460,2915,0.0941,354120795
2019年04月,台中市,366176586,758055,0.1222,5672910,4452,0.1916,26056650,4221,0.1485,397906146
2019年04月,台南市,252802811,596966,0.0843,1823813,1906,0.0616,6364236,1298,0.0363,260990860
2019年04月,高雄市,304559700,715397,0.1016,2931707,3019,0.099,20406579,3850,0.1163,327897986
2019年04月,宜蘭縣,62284930,145858,0.0208,441208,457,0.0149,1001795,253,0.0057,63727933
2019年04月,新竹縣,82510528,162603,0.0275,858193,704,0.029,3827020,647,0.0218,87195741
2019年04月,苗栗縣,63634824,160652,0.0212,441094,428,0.0149,530959,153,0.003,64606877
2019年04月,彰化縣,164986055,390412,0.055,2776576,3307,0.0938,1236261,392,0.007,168998892
2019年04月,南投縣,70632929,162139,0.0236,563659,604,0.019,470227,115,0.0027,71666815
2019年04月,雲林縣,95803558,269296,0.032,518693,643,0.0175,416331,203,0.0024,96738582
2019年04月,嘉義縣,61017720,173221,0.0204,440322,497,0.0149,179265,97,0.001,61637307
2019年04月,屏東縣,107599596,256753,0.0359,968735,1240,0.0327,893210,312,0.0051,109461541
2019年04月,台東縣,30269978,64073,0.0101,133079,153,0.0045,147379,63,0.0008,30550436
2019年04月,花蓮縣,48094290,95697,0.016,121290,126,0.0041,460602,109,0.0026,48676182
2019年04月,基隆市,52168233,100189,0.0174,267036,294,0.009,2799313,827,0.0159,55234582
2019年04月,新竹市,56960192,111169,0.019,393883,352,0.0133,3799616,789,0.0216,61153691
2019年04月,嘉義市,34281805,79143,0.0114,216740,232,0.0073,879965,229,0.005,35378510
2019年04月,澎湖縣,11896178,23626,0.004,79333,97,0.0027,51391,15,0.0003,12026902
2019年04月,金門縣,8286696,13379,0.0028,108513,112,0.0037,20442,38,0.0001,8415651
2019年04月,連江縣,1843054,2201,0.0006,33540,34,0.0011,12552,14,0.0001,1889146
2019年04月,合計,2997329621,6327459,1,29603966,26789,1,175515006,32568,1,3202448593
2019年03月,新北市,503024158,925745,0.1634,5610085,4093,0.186,49340678,9252,0.2915,557974921
2019年03月,台北市,315493741,532380,0.1025,2197180,1997,0.0728,35844811,6685,0.2118,353535732
2019年03月,桃園市,286503073,513116,0.0931,3047062,2096,0.101,16173632,2899,0.0956,305723767
2019年03月,台中市,370410856,757560,0.1204,5855362,4718,0.1941,25335177,4207,0.1497,401601395
2019年03月,台南市,251662356,598362,0.0818,1707786,1811,0.0566,6212492,1288,0.0367,259582634
2019年03月,高雄市,389800902,917145,0.1267,3309176,3565,0.1097,20114758,3841,0.1188,413224836
2019年03月,宜蘭縣,61735955,139557,0.0201,456644,539,0.0151,938354,251,0.0055,63130953
2019年03月,新竹縣,74690912,149943,0.0243,686344,669,0.0228,3655928,644,0.0216,79033184
2019年03月,苗栗縣,73506536,175697,0.0239,551889,611,0.0183,526977,151,0.0031,74585402
2019年03月,彰化縣,166725565,401786,0.0542,2731817,3081,0.0906,1170134,393,0.0069,170627516
2019年03月,南投縣,58743731,133728,0.0191,415105,522,0.0138,482463,114,0.0029,59641299
2019年03月,雲林縣,96428042,263300,0.0313,685244,867,0.0227,446074,202,0.0026,97559360
2019年03月,嘉義縣,67747581,177614,0.022,503765,601,0.0167,177531,98,0.001,68428877
2019年03月,屏東縣,118981091,283785,0.0387,1039260,1425,0.0344,888898,312,0.0053,120909249
2019年03月,台東縣,27625033,58089,0.009,135392,155,0.0045,145482,62,0.0009,27905907
2019年03月,花蓮縣,43716415,90079,0.0142,145815,125,0.0048,466701,110,0.0028,44328931
2019年03月,基隆市,45109965,88249,0.0147,214593,283,0.0071,2904286,824,0.0172,48228844
2019年03月,新竹市,65628907,127957,0.0213,388347,387,0.0129,3495980,787,0.0207,69513234
2019年03月,嘉義市,34703970,79359,0.0113,176498,248,0.0059,847557,229,0.005,35728025
2019年03月,澎湖縣,13092756,23393,0.0043,156973,199,0.0052,61639,15,0.0004,13311368
2019年03月,金門縣,10035355,16592,0.0033,115344,107,0.0038,20831,38,0.0001,10171530
2019年03月,連江縣,2401161,1944,0.0008,38414,27,0.0013,12405,14,0.0001,2451980
2019年03月,合計,3077768061,6455380,1,30168095,28126,1,169262788,32416,1,3277198944
2019年02月,新北市,498779907,925714,0.1669,5566883,3997,0.1851,47835982,9212,0.2846,552182772
2019年02月,台北市,299821851,500993,0.1003,2175402,1940,0.0723,36098523,6663,0.2147,338095776
2019年02月,桃園市,336261399,615803,0.1125,3344539,2317,0.1112,16483606,2890,0.0981,356089544
2019年02月,台中市,365005955,756346,0.1221,5811998,4480,0.1932,25228103,4200,0.1501,396046056
2019年02月,台南市,250977807,595293,0.084,1833604,1918,0.061,6160371,1283,0.0366,258971782
2019年02月,高雄市,299631599,714144,0.1003,2924662,3044,0.0972,19969158,3821,0.1188,322525419
2019年02月,宜蘭縣,65470983,145502,0.0219,478767,467,0.0159,987826,248,0.0059,66937576
2019年02月,新竹縣,80998418,161992,0.0271,878000,718,0.0292,3813205,644,0.0227,85689623
2019年02月,苗栗縣,63421199,160292,0.0212,443242,430,0.0147,532690,150,0.0032,64397131
2019年02月,彰化縣,160557683,389546,0.0537,2821198,3321,0.0938,1156766,393,0.0069,164535647
2019年02月,南投縣,68407810,161780,0.0229,526814,599,0.0175,417957,113,0.0025,69352581
2019年02月,雲林縣,89802503,268865,0.03,515028,649,0.0171,386211,199,0.0023,90703742
2019年02月,嘉義縣,60158799,173024,0.0201,447854,503,0.0149,170812,98,0.001,60777465
2019年02月,屏東縣,105195307,256475,0.0352,949771,1241,0.0316,855964,308,0.0051,107001042
2019年02月,台東縣,30125964,63927,0.0101,121153,153,0.004,144114,62,0.0009,30391231
2019年02月,花蓮縣,48721033,95525,0.0163,122241,131,0.0041,388473,110,0.0023,49231747
2019年02月,基隆市,51665109,100018,0.0173,265027,295,0.0088,2647015,821,0.0157,54577151
2019年02月,新竹市,57560485,110910,0.0193,403880,358,0.0134,3857452,785,0.0229,61821817
2019年02月,嘉義市,34273575,78918,0.0115,224194,238,0.0075,891940,229,0.0053,35389709
2019年02月,澎湖縣,11484103,23515,0.0038,74454,97,0.0025,49796,15,0.0003,11608353
2019年02月,金門縣,8379624,13333,0.0028,111404,112,0.0037,19455,37,0.0001,8510483
2019年02月,連江縣,2030619,2199,0.0007,35974,34,0.0012,14459,14,0.0001,2081052
2019年02月,合計,2988731732,6314114,1,30076089,27042,1,168109878,32295,1,3186917699
2019年01月,新北市,498145509,924408,0.1632,6107013,4119,0.187,49177413,9168,0.2881,553429935
2019年01月,台北市,318466937,532084,0.1043,2445449,2014,0.0749,37267581,6615,0.2184,358179967
2019年01月,桃園市,273094031,512210,0.0895,3283894,2117,0.1006,16831184,2860,0.0986,293209109
2019年01月,台中市,371658047,755044,0.1218,6307958,4730,0.1932,24888531,4173,0.1458,402854536
2019年01月,台南市,251311125,596664,0.0823,1845136,1825,0.0565,6166941,1275,0.0361,259323202
2019年01月,高雄市,407668189,914470,0.1336,3654836,3594,0.1119,20041492,3812,0.1174,431364517
2019年01月,宜蘭縣,61268084,139366,0.0201,483846,542,0.0148,938523,245,0.0055,62690453
2019年01月,新竹縣,71121350,149244,0.0233,761812,676,0.0233,3787476,638,0.0222,75670638
2019年01月,苗栗縣,71378229,175136,0.0234,584957,612,0.0179,504850,145,0.003,72468036
2019年01月,彰化縣,159522994,400943,0.0523,2972651,3104,0.091,1170173,390,0.0069,163665818
2019年01月,南投縣,57847698,133368,0.019,448785,526,0.0137,455648,110,0.0027,58752131
2019年01月,雲林縣,89921974,262766,0.0295,712390,870,0.0218,402550,197,0.0024,91036914
2019年01月,嘉義縣,64098593,177362,0.021,518401,605,0.0159,173193,98,0.001,64790187
2019年01月,屏東縣,120271927,283121,0.0394,1079413,1431,0.0331,865762,308,0.0051,122217102
2019年01月,台東縣,27216130,57987,0.0089,131349,155,0.004,139889,62,0.0008,27487368
2019年01月,花蓮縣,43166146,89823,0.0141,156063,124,0.0048,433157,110,0.0025,43755366
2019年01月,基隆市,42546931,88231,0.0139,223397,283,0.0068,2721253,812,0.0159,45491581
2019年01月,新竹市,64326717,127641,0.0211,428291,392,0.0131,3738087,784,0.0219,68493095
2019年01月,嘉義市,34687017,79167,0.0114,186512,249,0.0057,878074,228,0.0051,35751603
2019年01月,澎湖縣,13054914,23404,0.0043,170853,199,0.0052,54489,15,0.0003,13280256
2019年01月,金門縣,9130317,16379,0.003,110606,109,0.0034,18833,36,0.0001,9259756
2019年01月,連江縣,2339932,1938,0.0008,39193,27,0.0012,14485,14,0.0001,2393610
2019年01月,合計,3052242791,6440756,1,32652805,28303,1,170669584,32095,1,3255565180
2018年12月,新北市,491681690,923974,0.1605,6262460,4298,0.1809,51520733,9186,0.2858,549464883
2018年12月,台北市,300123439,500262,0.098,2745544,2151,0.0793,39691019,6648,0.2202,342560002
2018年12月,桃園市,319656333,613208,0.1044,3700426,2428,0.1069,18215891,2876,0.1011,341572650
2018年12月,台中市,384000428,753932,0.1254,6547560,4644,0.1892,26496964,4173,0.147,417044952
2018年12月,台南市,268348792,593066,0.0876,2145038,2004,0.062,6497586,1272,0.036,276991416
2018年12月,高雄市,342281527,712930,0.1118,3512450,3358,0.1015,21002535,3800,0.1165,366796512
2018年12月,宜蘭縣,62095561,144834,0.0203,529914,491,0.0153,920511,246,0.0051,63545986
2018年12月,新竹縣,80250059,160773,0.0262,1008941,742,0.0291,3875499,632,0.0215,85134499
2018年12月,苗栗縣,63797452,159762,0.0208,520824,438,0.015,529855,144,0.0029,64848131
2018年12月,彰化縣,166052255,388491,0.0542,3161051,3358,0.0913,1291585,398,0.0072,170504891
2018年12月,南投縣,72487290,161145,0.0237,604697,626,0.0175,426440,110,0.0024,73518427
2018年12月,雲林縣,92629363,268158,0.0302,632324,668,0.0183,429513,197,0.0024,93691200
2018年12月,嘉義縣,61066806,172667,0.0199,523460,516,0.0151,187088,98,0.001,61777354
2018年12月,屏東縣,114532988,255904,0.0374,1088862,1275,0.0315,936165,309,0.0052,116558015
2018年12月,台東縣,31176442,63685,0.0102,150231,170,0.0043,150363,62,0.0008,31477036
2018年12月,花蓮縣,48130288,95158,0.0157,152846,170,0.0044,481494,110,0.0027,48764628
2018年12月,基隆市,49298490,99832,0.0161,315620,315,0.0091,2827042,814,0.0157,52441152
2018年12月,新竹市,56762777,110667,0.0185,508946,399,0.0147,3767287,783,0.0209,61039010
2018年12月,嘉義市,36587040,78780,0.0119,265197,250,0.0077,918439,228,0.0051,37770676
2018年12月,澎湖縣,12277621,23442,0.004,94519,100,0.0027,63825,15,0.0004,12435965
2018年12月,金門縣,7746502,13238,0.0025,110512,114,0.0032,18983,36,0.0001,7875997
2018年12月,連江縣,1688122,2183,0.0006,33190,35,0.001,16899,14,0.0001,1738211
2018年12月,合計,3062671265,6296091,1,34614612,28550,1,180265716,32151,1,3277551593
2018年11月,新北市,593480177,922507,0.1636,7015858,4289,0.185,51604425,9168,0.2865,652100460
2018年11月,台北市,381247969,530981,0.1051,3125387,2118,0.0824,39817004,6639,0.2211,424190360
2018年11月,桃園市,300216318,510690,0.0827,3730102,2158,0.0984,18008757,2873,0.1,321955177
2018年11月,台中市,451467677,752268,0.1244,7158762,4833,0.1888,26564452,4156,0.1475,485190891
2018年11月,台南市,305689556,594329,0.0842,2164454,1866,0.0571,6465023,1268,0.0359,314319033
2018年11月,高雄市,506329927,911726,0.1395,4308198,3843,0.1136,21088145,3799,0.1171,531726270
2018年11月,宜蘭縣,68118354,139026,0.0188,566019,556,0.0149,892297,245,0.005,69576670
2018年11月,新竹縣,81895355,148600,0.0226,868087,698,0.0229,3741519,628,0.0208,86504961
2018年11月,苗栗縣,84665743,174531,0.0233,655170,614,0.0173,515987,144,0.0029,85836900
2018年11月,彰化縣,191205014,399599,0.0527,3269269,3125,0.0862,1279615,398,0.0071,195753898
2018年11月,南投縣,64135468,132772,0.0177,516863,533,0.0136,417288,110,0.0023,65069619
2018年11月,雲林縣,110385567,262004,0.0304,832898,882,0.022,444567,197,0.0025,111663032
2018年11月,嘉義縣,76257175,176892,0.021,572834,615,0.0151,193092,97,0.0011,77023101
2018年11月,屏東縣,138983137,282138,0.0383,1287472,1447,0.034,887322,309,0.0049,141157931
2018年11月,台東縣,30595288,57766,0.0084,157191,165,0.0041,150038,62,0.0008,30902517
2018年11月,花蓮縣,49541735,89486,0.0137,202609,127,0.0053,479374,110,0.0027,50223718
2018年11月,基隆市,48596052,88103,0.0134,277644,289,0.0073,2847483,814,0.0158,51721179
2018年11月,新竹市,75963290,126827,0.0209,564237,417,0.0149,3683861,782,0.0205,80211388
2018年11月,嘉義市,42004865,78809,0.0116,223755,255,0.0059,925121,228,0.0051,43153741
2018年11月,澎湖縣,15307442,23180,0.0042,238236,200,0.0063,61842,15,0.0003,15607520
2018年11月,金門縣,10338670,16213,0.0028,145233,108,0.0038,18078,36,0.0001,10501981
2018年11月,連江縣,2246955,1931,0.0006,40560,27,0.0011,13856,14,0.0001,2301371
2018年11月,合計,3628671734,6420378,1,37920838,29165,1,180099146,32092,1,3846691718
2018年10月,新北市,754593898,920049,0.1778,8500574,4481,0.1945,55233034,9152,0.2921,818327506
2018年10月,台北市,471029470,499732,0.111,4027782,2195,0.0922,43834098,6619,0.2318,518891350
2018年10月,桃園市,455605622,610980,0.1073,4754299,2448,0.1088,17056404,2861,0.0902,477416325
2018年10月,台中市,518498674,751920,0.1221,7825637,4696,0.1791,27894238,4144,0.1475,554218549
2018年10月,台南市,346784288,591129,0.0817,2568090,2026,0.0588,6619152,1267,0.035,355971530
2018年10月,高雄市,423984575,711365,0.0999,4166543,3447,0.0953,21210366,3798,0.1122,449361484
2018年10月,宜蘭縣,87618942,143994,0.0206,723894,503,0.0166,862332,244,0.0046,89205168
2018年10月,新竹縣,117295857,160252,0.0276,1347142,772,0.0308,4068360,627,0.0215,122711359
2018年10月,苗栗縣,90860950,159203,0.0214,628060,441,0.0144,525315,143,0.0028,92014325
2018年10月,彰化縣,223985808,387780,0.0528,3714965,3376,0.085,1328994,398,0.007,229029767
2018年10月,南投縣,85744336,160731,0.0202,716697,630,0.0164,436872,108,0.0023,86897905
2018年10月,雲林縣,119105745,267542,0.0281,700571,676,0.016,458820,197,0.0024,120265136
2018年10月,嘉義縣,76890320,172171,0.0181,558396,524,0.0128,203000,97,0.0011,77651716
2018年10月,屏東縣,132852223,255297,0.0313,1244552,1284,0.0285,877548,299,0.0046,134974323
2018年10月,台東縣,39062287,63403,0.0092,206997,174,0.0047,157356,63,0.0008,39426640
2018年10月,花蓮縣,64297718,94859,0.0151,214741,182,0.0049,485889,110,0.0026,64998348
2018年10月,基隆市,72855460,99578,0.0172,442632,318,0.0101,2874438,809,0.0152,76172530
2018年10月,新竹市,86449531,110229,0.0204,700936,401,0.016,3900159,780,0.0206,91050626
2018年10月,嘉義市,47799770,78564,0.0113,321404,252,0.0074,970829,228,0.0051,49092003
2018年10月,澎湖縣,16114197,22968,0.0038,132650,100,0.003,67294,15,0.0004,16314141
2018年10月,金門縣,11219171,12936,0.0026,157477,114,0.0036,18095,35,0.0001,11394743
2018年10月,連江縣,2254386,2175,0.0005,46703,35,0.0011,19570,14,0.0001,2320659
2018年10月,合計,4244903228,6276857,1,43700742,29075,1,189102163,32008,1,4477706133
2018年09月,新北市,898761618,921121,0.1841,9185475,4387,0.1951,60491078,9126,0.2957,968438171
2018年09月,台北市,576997762,529567,0.1182,4397708,2155,0.0934,48579741,6609,0.2375,629975211
2018年09月,桃園市,426557743,508595,0.0874,4908858,2194,0.1042,18611150,2854,0.091,450077751
2018年09月,台中市,589195612,749523,0.1207,8482485,4861,0.1801,29298661,4131,0.1432,626976758
2018年09月,台南市,371270763,593179,0.0761,2493799,1881,0.053,6924210,1266,0.0338,380688772
2018年09月,高雄市,595318242,910411,0.122,4932448,3923,0.1047,22266505,3793,0.1088,622517195
2018年09月,宜蘭縣,97726033,138782,0.02,754123,560,0.016,936818,243,0.0046,99416974
2018年09月,新竹縣,118584938,148136,0.0243,1151810,715,0.0245,4428594,627,0.0216,124165342
2018年09月,苗栗縣,121773594,173992,0.0249,828752,621,0.0176,568738,141,0.0028,123171084
2018年09月,彰化縣,244582798,398547,0.0501,3861766,3148,0.082,1341377,395,0.0066,249785941
2018年09月,南投縣,73778250,132403,0.0151,593543,534,0.0126,404033,104,0.002,74775826
2018年09月,雲林縣,136463558,261540,0.028,974433,888,0.0207,498399,198,0.0024,137936390
2018年09月,嘉義縣,92694123,176530,0.019,668184,617,0.0142,209729,97,0.001,93572036
2018年09月,屏東縣,157959930,281407,0.0324,1419071,1455,0.0301,926390,299,0.0045,160305391
2018年09月,台東縣,38182523,57492,0.0078,215090,169,0.0046,167245,62,0.0008,38564858
2018年09月,花蓮縣,64970179,89219,0.0133,263366,136,0.0056,470730,110,0.0023,65704275
2018年09月,基隆市,70208005,88033,0.0144,379257,294,0.0081,3174245,809,0.0155,73761507
2018年09月,新竹市,114663720,126541,0.0235,753762,424,0.016,4152978,779,0.0203,119570460
2018年09月,嘉義市,52691883,78605,0.0108,273543,257,0.0058,1007352,228,0.0049,53972778
2018年09月,澎湖縣,20627511,22691,0.0042,299653,199,0.0064,82338,15,0.0004,21009502
